"Year","USPPR","Flyway","ActiveHunters","DaysAfield","TotalBPOP","method"
2011,15633901,"MF",477003,7.93443167024107,45554.3,1
2012,14860618,"CF",192535,6.33923738541045,48575.3,1
2012,14860618,"MF",420769,7.32361668754114,48575.3,1
2013,12224701,"CF",170372,6.56065221984833,45607.3,1
2013,12224701,"MF",411617,7.54957428871985,45607.3,1
2014,12363535,"CF",225460,5.38247174665129,49152.2,1
2014,12363535,"MF",433085,6.88471281619082,49152.2,1
2015,9837038,"CF",190372,5.44878690143508,49521.7,1
2015,9837038,"MF",386091,6.99955865327086,49521.7,1
2016,9179062.99018,"CF",199663,5.20234990959767,48362.8,1
2016,9179062.99018,"MF",396738,6.67250674248496,48362.8,1
2017,8940215.09,"CF",203854,4.79385310074858,47265.6,1
2017,8940215.09,"MF",390526,6.51541349359582,47265.6,1
2018,9011930.12,"CF",206912,4.84966348012682,41193.2,1
2018,9011930.12,"MF",387682,6.32743005865632,41193.2,1
2019,11148129.22,NA,NA,NA,38898.9,1
